date,daily_ret_mean,daily_ret_sum,trades,sentiment
2023-01-05,0.0,0.0,3,1672896600.0
2023-05-12,0.0,0.0,9,1683869400.0
2024-01-01,-0.0013542542015655766,-0.024376575628180377,18,1704087000.0
2024-01-02,0.0,0.0,6,1704173400.0
2024-01-03,0.032565632189562016,4.461491609969996,137,1704259800.0
2024-01-04,0.016572840290737134,1.2761087023867594,77,1704346200.0
2024-01-05,0.0,0.0,14,1704432600.0
2024-01-06,0.005425889771719146,0.13564724429297864,25,1704519000.0
2024-01-07,0.010594283518509664,0.6780341451846185,64,1704605400.0
2024-01-08,0.0006039157603026269,0.03442319833724973,57,1704691800.0
2024-01-09,0.008313305107223078,0.09975966128667693,12,1704778200.0
2024-01-10,0.0,0.0,4,1704864600.0
2024-01-11,0.0010570559992485902,0.024312287982717576,23,1704951000.0
2024-01-12,0.20091040548847178,83.57872868320426,416,1705037400.0
2024-02-01,0.05840668851694138,0.9929137047880034,17,1706765400.0
2024-02-02,0.02222314402296727,0.9333720489646253,42,1706851800.0
2024-02-03,-0.07441265725788752,-2.3067923749945134,31,1706938200.0
2024-02-04,0.0030547989921382228,0.12524675867766713,41,1707024600.0
2024-02-06,0.0072570025557842175,0.6749012376879322,93,1707197400.0
2024-02-07,0.04432659383288111,0.79787868899186,18,1707283800.0
2024-02-08,0.0029892530797869217,0.18832294402657607,63,1707370200.0
2024-02-09,0.0,0.0,2,1707456600.0
2024-02-10,0.0,0.0,4,1707543000.0
2024-02-11,0.0,0.0,2,1707629400.0
2024-02-12,0.08286955653892343,22.209041152431478,268,1707715800.0
2024-03-01,0.002397618079399435,0.16064041131976214,67,1709271000.0
2024-03-02,4.5027308990477445e-05,0.0025215293034667368,56,1709357400.0
2024-03-03,0.030771225346884094,2.4309268024038433,79,1709443800.0
2024-03-04,0.009037335880365519,0.036149343521462075,4,1709530200.0
2024-03-05,0.0048487666627059734,0.17455559985741503,36,1709616600.0
2024-03-06,0.022945963961164995,1.6062174772815496,70,1709703000.0
2024-03-07,0.008604763103020656,0.15488573585437182,18,1709789400.0
2024-03-08,0.002766964830333665,0.1023776987223456,37,1709875800.0
2024-03-10,0.005108389302719369,0.04597550372447432,9,1710048600.0
2024-03-11,0.0,0.0,6,1710135000.0
2024-03-12,0.05738756294721876,21.462948542259817,374,1710221400.0
2024-04-01,-0.0008049010045008357,-0.0040245050225041785,5,1711949400.0
2024-04-02,-0.011097791996846303,-0.38842271988962057,35,1712035800.0
2024-04-03,0.0403975218157411,12.11925654472233,300,1712122200.0
2024-04-04,0.0,0.0,32,1712208600.0
2024-04-05,0.0,0.0,9,1712295000.0
2024-04-06,0.0019124837185662727,0.10136163708401245,53,1712381400.0
2024-04-07,0.0,0.0,25,1712467800.0
2024-04-08,-0.07112915279499807,-9.033402404964754,127,1712554200.0
2024-04-09,0.0062746551176337245,0.21333827399954663,34,1712640600.0
2024-04-10,0.0,0.0,1,1712727000.0
2024-04-11,0.01048519861500782,0.37746715014028154,36,1712813400.0
2024-04-12,0.2360401067708741,75.29679405990883,319,1712899800.0
2024-05-01,0.00011133406489917906,0.007348048283345818,66,1714541400.0
2024-05-02,-0.0006308077590253504,-0.04541815864982523,72,1714627800.0
2024-05-03,0.039797158258725804,7.163488486570644,180,1714714200.0
2024-05-04,0.022748111718916827,2.274811171891683,100,1714800600.0
2024-05-05,0.003751945604980749,0.022511673629884495,6,1714887000.0
2024-05-06,0.0011860777024525928,0.06404819593244002,54,1714973400.0
2024-05-07,0.0,0.0,32,1715059800.0
2024-05-08,-0.0041158873225988326,-0.3292709858079066,80,1715146200.0
2024-05-09,0.0,0.0,1,1715232600.0
2024-05-10,0.00697094597111064,0.25792500093109366,37,1715319000.0
2024-05-11,0.002252125725173517,0.02252125725173517,10,1715405400.0
2024-05-12,0.09405473379135186,42.88895860885645,456,1715491800.0
2024-06-01,0.0010863750305640863,0.0239002506724099,22,1717219800.0
