type,day_offset,daily_ret_mean
bot,-3,0.0051559676086856306
bot,-2,0.01203124953604115
bot,-1,0.0057139888369827
bot,0,0.015327265829165895
bot,1,0.01808234718105821
bot,2,0.015352266106828275
bot,3,0.02293200702438581
top,-3,0.01786390581573479
top,-2,0.012366559092460169
top,-1,0.013353046771298826
top,0,0.01145179430655138
top,1,0.009975168663076574
top,2,0.009605789333388896
top,3,0.006017153787520113
