trader,coef_sent_0,pval_sent_0,r2,n_obs
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,9.222855214933258e-09,0.6439939532551249,0.17331143491170642,13
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2.0059699749685815e-08,0.1061319102610517,0.34424211849248687,56
0x2c229d22b100a7beb69122eed721cee9b24011dd,-1.7028097702867193e-09,0.7925931265572911,0.2696978815837313,19
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-2.449209814549135e-09,0.8391694244959803,0.427212971407656,12
0x39cef799f8b69da1995852eea189df24eb5cae3c,1.8084817781702925e-08,0.5754331879435909,0.264627133163306,16
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,1.1874768206752795e-09,0.9221068118760005,0.5146618928669457,10
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,5.470937594376682e-09,0.7168799756844674,0.07566949192832273,55
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2.3949109445520904e-08,0.111250379194848,0.36112897446580927,16
0x4f93fead39b70a1824f981a54d4e55b278e9f760,5.011184938396112e-10,0.8166905447575268,0.017401095281275758,119
0x6d6a4b953f202f8df5bed40692e7fd865318264a,1.7679682461216408e-09,0.7982973723053145,0.7113557803701214,12
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,-3.768692550736364e-08,0.6294153489656671,0.1953270212030196,15
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,6.583787303316216e-09,0.16364264247949797,0.1202443806538358,44
0x8170715b3b381dffb7062c0298972d4727a0a63b,-7.552338769853163e-08,0.3449698580142586,0.22140595015915254,28
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2.822222408076775e-10,0.8672172483045545,0.1950159939967827,21
0x8477e447846c758f5a675856001ea72298fd9cb5,-3.4458355394217335e-09,0.4442226851794465,0.09237958896563181,62
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,3.0902889179914144e-10,0.8274823158114261,0.09431499064934223,11
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,7.763132227162011e-09,0.9117030986420691,0.3554912252031539,15
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2.833309052281946e-10,0.9938955312166169,0.0342396787231235,101
0xb899e522b5715391ae1d4f137653e7906c5e2115,-2.982581514275939e-10,0.9036923382934547,0.22819861754223136,15
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,-2.180591877521252e-08,0.6876701036478376,0.28470798231144034,23
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,-2.110244393091265e-09,0.6184488994646729,0.1610182492136455,39
