Account,trades,total_pnl,avg_return,median_return,std_return,win_rate,sharpe_like,cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,2712,1359427.638105,0.04371755782555809,0.0,0.08885910762766532,0.43547197640117996,0.49198736058370124,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,1730,5392.784773,-0.002618717394995577,0.0,0.0465754792556591,0.4687861271676301,-0.05622523776129244,2.0
0x271b280974205ca63b716753467d5a371de622ab,1140,30179.745676,0.0025347287053612702,0.0,0.006336597954289414,0.43157894736842106,0.4000141280299224,0.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,4306,41329.55692,0.05674846554359357,0.0,0.21228756041329747,0.461216906641895,0.26731884540531425,2.0
0x2c229d22b100a7beb69122eed721cee9b24011dd,896,76323.718082,0.04212987097265015,0.004045189794289044,0.07686263135060646,0.53125,0.5481190304359485,0.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,375,-53887.645203,-0.04520438615254365,0.0,0.230368975802622,0.23733333333333334,-0.19622601522209462,2.0
0x39cef799f8b69da1995852eea189df24eb5cae3c,2315,-57641.464841,-0.002964285735289533,0.0,0.1519123033075464,0.3248380129589633,-0.019513137979932656,2.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,139,9503.471102,0.020995401570447415,0.008690380172232726,0.028646162006447883,0.6906474820143885,0.7329219727837055,0.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,155,31838.588422,0.033863431221959346,0.0,0.07313050135091495,0.22580645161290322,0.46305482112677565,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,286,28410.862502,0.0226445679795745,0.0,0.0402757672897656,0.24125874125874125,0.5622380280593355,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,3548,7321.170945999999,0.013813380043784313,0.0,0.12913176777198568,0.3229988726042841,0.10697119912565031,2.0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,2274,404855.229892,0.012993103441103163,0.0,0.02553682094235801,0.40589270008795075,0.5087987839375676,0.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2938,98019.94253199999,0.0010960534046144327,0.0,0.02558794931892496,0.3512593601089176,0.04283474970789421,2.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2555,100482.608372,0.0005394051264511168,0.0,0.03434090382821287,0.30528375733855184,0.015707365454020662,2.0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,407,4836.027995,0.027026731931159242,0.0,0.11094291797291059,0.2800982800982801,0.24360934816730237,0.0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,737,156030.866984,0.015309216009856604,0.0,0.020747507840447536,0.48846675712347354,0.7378821652984793,0.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,472,201716.01261,0.04908379530703741,0.0,0.23239630090390653,0.23940677966101695,0.21120730027167278,0.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3333,169336.633271,0.025991047050340672,0.03125502171759507,0.03588184489888314,0.7971797179717972,0.7243509112640324,0.0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1388,10003.534381,0.00283565242066563,0.0,0.008657033674243959,0.4711815561959654,0.32755474073089763,0.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,1242,52384.786049,0.0667717378092154,0.0,0.18914335198532978,0.19887278582930756,0.353021859390513,0.0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1137,10601.072083,0.0018622541251174444,0.0,0.013867659378341215,0.3465259454705365,0.13428755886706806,2.0
0x8477e447846c758f5a675856001ea72298fd9cb5,5419,8227.806324,0.005430493120085181,0.0,0.0356320128773329,0.3118656578704558,0.15240489328459347,2.0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,391,15671.865999,0.012536430510211242,0.0,0.02337123945890966,0.27621483375959077,0.5364041788306638,0.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,4277,15271.978095,0.0027363091951490334,0.0,0.008381040707121389,0.2684124386252046,0.32648799722735933,2.0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,269,24741.581134,0.23562378987565322,0.0,0.34496573697096305,0.46096654275092935,0.683035341261983,1.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,334,29677.264671,0.04075014567251904,0.0,0.053900126577458844,0.46107784431137727,0.7560306118012132,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,60,9721.01524,0.003788106633962102,0.0,0.008566162238780728,0.18333333333333332,0.4422174748001603,0.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,7754,1674353.332039,0.08953140964321031,0.0,0.2715818221732307,0.3611039463502708,0.3296664295377692,2.0
0xb899e522b5715391ae1d4f137653e7906c5e2115,3982,28861.462188,0.0001637226082616672,0.0,0.008430859440449554,0.4585635359116022,0.019419444650703027,2.0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,10072,817764.315646,0.024056817629476774,0.00029560074347975034,0.031850155255444906,0.5081413820492454,0.7553124132845214,2.0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,1458,95012.274716,0.05274837479156753,0.0,0.20883366726943536,0.4046639231824417,0.2525855887188536,0.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,11124,273196.995818,0.018384479178891085,0.0,0.044660420550158696,0.49316792520676017,0.41165038198069,2.0
